stratum,lineage,head,seed,K,forget_id,update_mode,dose,protocol,epochs_recorded,first_zero_epoch,centred_reversal_ep1,centred_reversal_any_epoch,centred_reversal_epochs,uncentred_reversal_any,nc3_centred_ep0,source_artifact,reused_elsewhere
A controlled nested sweep,faces-nested (casia-webface-folders; min40/max50),arcface,0,250,60,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,3,False,False,-,False,0.9734736405743771,logs_classcount/K250/unlearn/faces_arcface_seed0_random_label_clfonly_fc60,bitwise-identical replay in logs_classcount_decomposition/
A controlled nested sweep,faces-nested (casia-webface-folders; min40/max50),arcface,0,250,95,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,2,False,False,-,False,0.8386277252083785,logs_classcount/K250/unlearn/faces_arcface_seed0_random_label_clfonly_fc95,bitwise-identical replay in logs_classcount_decomposition/
A controlled nested sweep,faces-nested (casia-webface-folders; min40/max50),ce,0,1000,0,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.7887138019372109,logs_classcount/K1000/unlearn/faces_ce_seed0_random_label_clfonly_fc0,bitwise-identical replay in logs_classcount_decomposition/
A controlled nested sweep,faces-nested (casia-webface-folders; min40/max50),ce,0,1000,29,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.8280879175030784,logs_classcount/K1000/unlearn/faces_ce_seed0_random_label_clfonly_fc29,bitwise-identical replay in logs_classcount_decomposition/
A controlled nested sweep,faces-nested (casia-webface-folders; min40/max50),ce,0,1000,60,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.7810605048928971,logs_classcount/K1000/unlearn/faces_ce_seed0_random_label_clfonly_fc60,bitwise-identical replay in logs_classcount_decomposition/
A controlled nested sweep,faces-nested (casia-webface-folders; min40/max50),ce,0,1000,95,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,2,False,False,-,False,0.7006647290703788,logs_classcount/K1000/unlearn/faces_ce_seed0_random_label_clfonly_fc95,bitwise-identical replay in logs_classcount_decomposition/
A controlled nested sweep,faces-nested (casia-webface-folders; min40/max50),arcface,0,1000,0,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.8875037294191552,logs_classcount/K1000/unlearn/faces_arcface_seed0_random_label_clfonly_fc0,bitwise-identical replay in logs_classcount_decomposition/
A controlled nested sweep,faces-nested (casia-webface-folders; min40/max50),arcface,0,1000,29,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.9262243035113569,logs_classcount/K1000/unlearn/faces_arcface_seed0_random_label_clfonly_fc29,bitwise-identical replay in logs_classcount_decomposition/
A controlled nested sweep,faces-nested (casia-webface-folders; min40/max50),arcface,0,1000,60,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,2,False,False,-,False,0.9871800203442119,logs_classcount/K1000/unlearn/faces_arcface_seed0_random_label_clfonly_fc60,bitwise-identical replay in logs_classcount_decomposition/
A controlled nested sweep,faces-nested (casia-webface-folders; min40/max50),arcface,0,1000,95,classifier_only,m=9 active forget steps/epoch; lambda=1; per-cell reseed,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.9892936166730318,logs_classcount/K1000/unlearn/faces_arcface_seed0_random_label_clfonly_fc95,bitwise-identical replay in logs_classcount_decomposition/
