seed,forget_class,identity,ce_first_zero_epoch,arcface_first_zero_epoch,attained_pair,exposure,d_ce_centred,d_arcface_centred,matched_dic_centred,d_ce_uncentred,d_arcface_uncentred,matched_dic_uncentred,ce_retain_correct,arcface_retain_correct,retain_total
0,0,00001,1,2,True,unequal (arcface +1),-0.09361258887196489,-0.000586730198813834,0.09302585867315105,-0.2861765182910956,-0.027690135622303935,0.25848638266879165,559,554,970
0,29,00142,2,3,True,unequal (arcface +1),-0.12264128394266305,0.006201490360235096,0.12884277430289814,-0.3454541737350443,-0.0428288858125242,0.3026252879225201,554,554,970
0,60,00284,1,1,True,equal,-0.08547557894925895,-0.06695637838601165,0.018519200563247296,-0.2755194069548814,-0.026533325206413605,0.2489860817484678,557,554,970
0,95,00524,1,NOT_ATTAINED,False,NO_PAIR,,,,,,,,,
1,0,00001,1,2,True,unequal (arcface +1),-0.08807834249461444,-0.023773162155642402,0.06430518033897203,-0.28678202295745764,-0.03856787069255907,0.24821415226489857,540,552,970
1,29,00142,1,2,True,unequal (arcface +1),-0.10035131803974662,-0.10762496164802571,-0.00727364360827909,-0.2847050158106484,-0.03974791372512665,0.24495710208552174,539,557,970
1,60,00284,1,1,True,equal,-0.08501979574521501,-0.04443546687455446,0.040584328870660547,-0.2706520892594366,-0.02706745420089396,0.24358463505854266,546,556,970
1,95,00524,1,1,True,equal,-0.09870659382995073,-0.001970017392764478,0.09673657643718625,-0.2864601552784146,-0.027240076446392703,0.2592200788320219,542,552,970
