seed,head,forget_class,identity,epoch,forget_correct,forget_total,retain_correct,retain_total,output_forget,output_retain,nc3_centred,d_nc3_centred,nc3_uncentred,d_nc3_uncentred,probe_forget,nc1_angular
0,ce,0,00001,0,6,10,559,970,0.6,0.5762886597938144,0.8701082937546062,0.0,0.5181023317851864,0.0,0.7,0.9213860335084211
0,ce,0,00001,1,0,10,559,970,0.0,0.5762886597938144,0.7764957048826413,-0.09361258887196489,0.23192581349409078,-0.2861765182910956,0.7,0.9213860335084211
0,ce,0,00001,2,0,10,554,970,0.0,0.5711340206185567,0.7478267546307156,-0.12228153912389061,0.1706293350928699,-0.34747299669231646,0.7,0.9213860335084211
0,ce,0,00001,3,0,10,546,970,0.0,0.5628865979381443,0.7419908601575393,-0.12811743359706684,0.1590041055613725,-0.3590982262238139,0.7,0.9213860335084211
0,ce,29,00142,0,8,10,557,970,0.8,0.5742268041237113,0.8616787413457216,0.0,0.5376125229794889,0.0,0.8,0.9213860335084211
0,ce,29,00142,1,1,10,557,970,0.1,0.5742268041237113,0.7704435101234334,-0.09123523122228827,0.25925880728148165,-0.27835371569800726,0.8,0.9213860335084211
0,ce,29,00142,2,0,10,554,970,0.0,0.5711340206185567,0.7390374574030586,-0.12264128394266305,0.19215834924444467,-0.3454541737350443,0.8,0.9213860335084211
0,ce,29,00142,3,0,10,546,970,0.0,0.5628865979381443,0.7296451667229162,-0.1320335746228054,0.17390480027714367,-0.36370772270234525,0.8,0.9213860335084211
0,ce,60,00284,0,4,10,561,970,0.4,0.5783505154639176,0.8420344740702896,0.0,0.5290650759597948,0.0,0.3,0.9213860335084211
0,ce,60,00284,1,0,10,557,970,0.0,0.5742268041237113,0.7565588951210307,-0.08547557894925895,0.2535456690049134,-0.2755194069548814,0.3,0.9213860335084211
0,ce,60,00284,2,0,10,556,970,0.0,0.5731958762886598,0.7270775932950813,-0.11495688077520838,0.18807995074016368,-0.3409851252196311,0.3,0.9213860335084211
0,ce,60,00284,3,0,10,552,970,0.0,0.5690721649484536,0.7190618842497067,-0.1229725898205829,0.1718373191729441,-0.3572277567868507,0.3,0.9213860335084211
0,ce,95,00524,0,6,10,559,970,0.6,0.5762886597938144,0.818477679133266,0.0,0.5363199529274392,0.0,0.6,0.9213860335084211
0,ce,95,00524,1,0,10,559,970,0.0,0.5762886597938144,0.7094333863530968,-0.10904429278016914,0.24014691609678923,-0.29617303683064994,0.6,0.9213860335084211
0,ce,95,00524,2,0,10,550,970,0.0,0.5670103092783505,0.6748679698679596,-0.14360970926530636,0.17064895893796073,-0.36567099398947844,0.6,0.9213860335084211
0,ce,95,00524,3,0,10,543,970,0.0,0.5597938144329897,0.6658811584465814,-0.1525965206866846,0.154267253840971,-0.38205269908646816,0.6,0.9213860335084211
0,arcface,0,00001,0,6,10,557,970,0.6,0.5742268041237113,0.9790890601472682,0.0,-0.8950653450135158,0.0,0.6,0.8099175760438443
0,arcface,0,00001,1,1,10,556,970,0.1,0.5731958762886598,0.9825511486551706,0.0034620885079024166,-0.9137343758441399,-0.0186690308306241,0.6,0.8099175760438443
0,arcface,0,00001,2,0,10,554,970,0.0,0.5711340206185567,0.9785023299484543,-0.000586730198813834,-0.9227554806358197,-0.027690135622303935,0.6,0.8099175760438443
0,arcface,0,00001,3,0,10,557,970,0.0,0.5742268041237113,0.974761131152248,-0.004327928995020103,-0.9267892210199449,-0.03172387600642912,0.6,0.8099175760438443
0,arcface,29,00142,0,9,10,554,970,0.9,0.5711340206185567,0.9368128075948416,0.0,-0.8891790788569978,0.0,0.8,0.8099175760438443
0,arcface,29,00142,1,3,10,550,970,0.3,0.5670103092783505,0.9392364617068301,0.002423654111988416,-0.9193976675119766,-0.03021858865497884,0.8,0.8099175760438443
0,arcface,29,00142,2,1,10,553,970,0.1,0.5701030927835051,0.9414896304555511,0.004676822860709473,-0.9284598666165998,-0.03928078775960209,0.8,0.8099175760438443
0,arcface,29,00142,3,0,10,554,970,0.0,0.5711340206185567,0.9430142979550767,0.006201490360235096,-0.932007964669522,-0.0428288858125242,0.8,0.8099175760438443
0,arcface,60,00284,0,5,10,558,970,0.5,0.5752577319587628,0.7382479609812342,0.0,-0.8967096061256901,0.0,0.6,0.8099175760438443
0,arcface,60,00284,1,0,10,554,970,0.0,0.5711340206185567,0.6712915825952226,-0.06695637838601165,-0.9232429313321037,-0.026533325206413605,0.6,0.8099175760438443
0,arcface,60,00284,2,0,10,554,970,0.0,0.5711340206185567,0.635732642266341,-0.10251531871489328,-0.9318911135383396,-0.03518150741264958,0.6,0.8099175760438443
0,arcface,60,00284,3,0,10,553,970,0.0,0.5701030927835051,0.6172993148524938,-0.12094864612874046,-0.935456670773592,-0.038747064647901897,0.6,0.8099175760438443
0,arcface,95,00524,0,7,10,556,970,0.7,0.5731958762886598,0.704540387900574,0.0,-0.8925192909270746,0.0,0.8,0.8099175760438443
0,arcface,95,00524,1,3,10,550,970,0.3,0.5670103092783505,0.6160010533285663,-0.0885393345720078,-0.9137157616663074,-0.02119647073923281,0.8,0.8099175760438443
0,arcface,95,00524,2,2,10,553,970,0.2,0.5701030927835051,0.558578322952867,-0.14596206494770703,-0.9235118537382151,-0.03099256281114049,0.8,0.8099175760438443
0,arcface,95,00524,3,1,10,559,970,0.1,0.5762886597938144,0.5305154693267853,-0.17402491857378877,-0.9276082937978459,-0.035089002870771324,0.8,0.8099175760438443
1,ce,0,00001,0,5,10,543,970,0.5,0.5597938144329897,0.8443866360840486,0.0,0.5259835241665707,0.0,0.5,0.9740622302714209
1,ce,0,00001,1,0,10,540,970,0.0,0.5567010309278351,0.7563082935894342,-0.08807834249461444,0.23920150120911304,-0.28678202295745764,0.5,0.9740622302714209
1,ce,0,00001,2,0,10,546,970,0.0,0.5628865979381443,0.7280113037611555,-0.1163753323228931,0.17584713929758194,-0.35013638486898874,0.5,0.9740622302714209
