cell_name,K,head,seed,forget_class,identity,epoch,n_centre_classes,n_present_classes,delta_centred_production,delta_centred_weight_only,delta_centred_centre_only,interaction_residual,delta_uncentred_production,nc3_centred_forget,nc3_centred_forget_epoch0,nc3_uncentred_forget,nc3_uncentred_forget_epoch0,forget_weight_angle_deg,forget_weight_norm_ratio,retain_centre_angle_deg,retain_centre_norm_ratio,centred_forget_weight_angle_deg,centred_forget_weight_norm_ratio
faces_arcface_seed0_random_label_clfonly_fc0,100,arcface,0,0,00001,1,99,100,0.0034620885079024166,0.0034618728792148445,7.649962518851972e-05,-7.628399650094764e-05,-0.0186690308306241,0.9825511486551706,0.9790890601472682,-0.9137343758441399,-0.8950653450135158,2.5183167667854116,1.0003625096302506,0.019782341029446364,0.9998777130967879,6.521493408070581,0.8928660805326493
faces_arcface_seed0_random_label_clfonly_fc0,100,arcface,0,0,00001,2,99,100,-0.000586730198813834,-0.0005261319502457562,0.00013507085347153058,-0.0001956691020396084,-0.027690135622303935,0.9785023299484543,0.9790890601472682,-0.9227554806358197,-0.8950653450135158,3.8284290015015734,1.0005471317673738,0.027976455118293345,0.9998392063252116,10.429848698008842,0.8403865984955404
faces_arcface_seed0_random_label_clfonly_fc0,100,arcface,0,0,00001,3,99,100,-0.004327928995020103,-0.004176948551601001,0.00016025221894211406,-0.00031123266236121605,-0.03172387600642912,0.974761131152248,0.9790890601472682,-0.9267892210199449,-0.8950653450135158,4.438002228404542,1.000456562417087,0.03956468264845247,0.9998226735265457,12.37120955814054,0.8163192714522329
faces_arcface_seed0_random_label_clfonly_fc29,100,arcface,0,29,00142,1,99,100,0.002423654111988416,0.002426354866871372,-6.392044101577454e-06,3.6912892186213853e-06,-0.03021858865497884,0.9392364617068301,0.9368128075948416,-0.9193976675119766,-0.8891790788569978,4.0763099559627864,1.0012603740839607,0.0,0.9999167059767602,2.2937106372741494,0.7534836372289022
faces_arcface_seed0_random_label_clfonly_fc29,100,arcface,0,29,00142,2,99,100,0.004676822860709473,0.0046451017953205165,6.61125993006717e-06,2.510980545888941e-05,-0.03928078775960209,0.9414896304555511,0.9368128075948416,-0.9284598666165998,-0.8891790788569978,5.437109770303176,1.0017012224182609,0.0,0.9999115566386485,3.607714755528977,0.6722147596915885
faces_arcface_seed0_random_label_clfonly_fc29,100,arcface,0,29,00142,3,99,100,0.006201490360235096,0.006158529062360141,4.767743573497185e-06,3.8193554301457766e-05,-0.0428288858125242,0.9430142979550767,0.9368128075948416,-0.932007964669522,-0.8891790788569978,5.992436888796735,1.0016135812409124,0.0,0.9998909592862015,4.324588215422488,0.6393225258832544
faces_arcface_seed0_random_label_clfonly_fc60,100,arcface,0,60,00284,1,99,100,-0.06695637838601165,-0.06691290284318341,-1.6275053862035982e-05,-2.720048896620586e-05,-0.026533325206413605,0.6712915825952226,0.7382479609812342,-0.9232429313321037,-0.8967096061256901,3.6834452781210123,1.0009949331202888,0.0,0.99996954919248,5.522190124874761,0.8304004846843039
faces_arcface_seed0_random_label_clfonly_fc60,100,arcface,0,60,00284,2,99,100,-0.10251531871489328,-0.1027035109809582,0.00013288715842640908,5.5305107638514706e-05,-0.03518150741264958,0.635732642266341,0.7382479609812342,-0.9318911135383396,-0.8967096061256901,5.013212139457766,1.0013505694833318,0.027976455118293345,0.9999760842972902,8.264911024724487,0.7735107613140951
faces_arcface_seed0_random_label_clfonly_fc60,100,arcface,0,60,00284,3,99,100,-0.12094864612874046,-0.12120264001066294,0.00017058488192001064,8.340900000247675e-05,-0.038747064647901897,0.6172993148524938,0.7382479609812342,-0.935456670773592,-0.8967096061256901,5.585038471385476,1.001260803535799,0.027976455118293345,0.9999671854311657,9.644305100147461,0.7502708168708035
faces_arcface_seed0_random_label_clfonly_fc95,100,arcface,0,95,00524,1,99,100,-0.0885393345720078,-0.08808908696577644,-0.0003085183388186197,-0.00014172926741273795,-0.02119647073923281,0.6160010533285663,0.704540387900574,-0.9137157616663074,-0.8925192909270746,2.836831879072356,1.0004921814864096,0.0,0.9999338927623453,6.868270312375171,0.8680041762545645
